,0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,-1e-06
472,8.09000000000012e-09
473,8.110000000000038e-09
474,8.129999999999954e-09
475,8.150000000000083e-09
476,8.170000000000211e-09
477,8.190000000000128e-09
478,8.19999999999998e-09
479,8.22000000000011e-09
480,8.240000000000026e-09
481,8.260000000000155e-09
482,8.270000000000219e-09
483,8.289999999999924e-09
484,8.310000000000053e-09
485,8.32999999999997e-09
486,8.340000000000034e-09
487,8.35999999999995e-09
488,8.380000000000079e-09
489,8.389999999999932e-09
490,8.41000000000006e-09
491,8.420000000000124e-09
492,8.440000000000041e-09
493,8.46000000000017e-09
494,8.470000000000234e-09
495,8.489999999999939e-09
496,8.500000000000003e-09
497,8.520000000000132e-09
498,8.529999999999984e-09
499,8.550000000000113e-09
500,8.560000000000177e-09
501,8.570000000000242e-09
502,8.589999999999947e-09
503,8.600000000000011e-09
504,8.62000000000014e-09
505,8.629999999999992e-09
506,8.639999999999844e-09
507,8.659999999999973e-09
508,8.670000000000037e-09
509,8.67999999999989e-09
510,8.700000000000018e-09
511,8.710000000000083e-09
512,8.720000000000147e-09
513,8.740000000000064e-09
514,8.750000000000128e-09
515,8.760000000000192e-09
516,8.770000000000045e-09
517,8.789999999999962e-09
518,8.800000000000026e-09
519,8.81000000000009e-09
520,8.820000000000154e-09
521,8.830000000000007e-09
522,8.850000000000135e-09
523,8.8600000000002e-09
524,8.870000000000052e-09
525,8.879999999999905e-09
526,8.889999999999969e-09
527,8.900000000000033e-09
528,8.910000000000098e-09
529,8.920000000000162e-09
530,8.930000000000014e-09
531,8.949999999999931e-09
532,8.959999999999996e-09
533,8.97000000000006e-09
534,8.979999999999912e-09
535,8.989999999999977e-09
536,9.000000000000041e-09
537,9.010000000000105e-09
538,9.019999999999958e-09
539,9.030000000000022e-09
540,9.040000000000086e-09
541,9.05000000000015e-09
542,9.060000000000003e-09
543,9.070000000000067e-09
544,9.070000000000067e-09
545,9.07999999999992e-09
546,9.089999999999984e-09
547,9.100000000000048e-09
548,9.110000000000113e-09
549,9.120000000000177e-09
550,9.13000000000003e-09
551,9.140000000000094e-09
552,9.150000000000158e-09
553,9.150000000000158e-09
554,9.16000000000001e-09
555,9.170000000000075e-09
556,9.179999999999927e-09
557,9.189999999999992e-09
558,9.200000000000056e-09
559,9.200000000000056e-09
560,9.21000000000012e-09
561,9.220000000000184e-09
562,9.229999999999825e-09
563,9.23999999999989e-09
564,9.23999999999989e-09
565,9.249999999999954e-09
566,9.260000000000018e-09
567,9.270000000000082e-09
568,9.270000000000082e-09
569,9.279999999999935e-09
570,9.289999999999999e-09
571,9.289999999999999e-09
572,9.300000000000063e-09
573,9.309999999999916e-09
574,9.31999999999998e-09
575,9.31999999999998e-09
576,9.330000000000045e-09
577,9.340000000000109e-09
578,9.340000000000109e-09
579,9.350000000000173e-09
580,9.360000000000026e-09
581,9.360000000000026e-09
