0.000000,0.100000,0.000000,0.000000,0.100000,0.010000
0.100000,0.100000,0.010500,0.022000,0.100000,0.010484
0.200000,0.102310,0.021000,0.044000,0.096040,0.011160
0.300000,0.106930,0.031084,0.065129,0.088120,0.012007
0.400000,0.113769,0.040337,0.084515,0.076397,0.012979
0.500000,0.122643,0.048358,0.101322,0.061184,0.014010
0.600000,0.133281,0.054783,0.114783,0.042946,0.015019
0.700000,0.145334,0.059292,0.124231,0.022285,0.015930
0.800000,0.158378,0.061632,0.129134,-0.000077,0.016676
0.900000,0.171937,0.061624,0.129117,-0.023321,0.017215
1.000000,0.185494,0.059175,0.123986,-0.046562,0.017541
1.100000,0.198513,0.054286,0.113743,-0.068879,0.017682
1.200000,0.210456,0.047054,0.098589,-0.089353,0.017704
1.300000,0.220808,0.037672,0.078932,-0.107099,0.017700
1.400000,0.229096,0.026427,0.055370,-0.121307,0.017781
1.500000,0.234909,0.013689,0.028683,-0.131273,0.018055
1.600000,0.237921,-0.000094,-0.000198,-0.136436,0.018615
1.700000,0.237900,-0.014420,-0.030214,-0.136401,0.019518
1.800000,0.234728,-0.028742,-0.060222,-0.130962,0.020778
1.900000,0.228405,-0.042493,-0.089033,-0.120122,0.022356
2.000000,0.219056,-0.055106,-0.115460,-0.104096,0.024167
2.100000,0.206933,-0.066036,-0.138362,-0.083313,0.026085
2.200000,0.192405,-0.074784,-0.156690,-0.058408,0.027963
2.300000,0.175952,-0.080917,-0.169540,-0.030204,0.029656
2.400000,0.158151,-0.084088,-0.176185,0.000313,0.031041
2.500000,0.139651,-0.084056,-0.176116,0.032027,0.032043
2.600000,0.121159,-0.080693,-0.169071,0.063727,0.032646
2.700000,0.103407,-0.074001,-0.155050,0.094160,0.032907
2.800000,0.087126,-0.064115,-0.134335,0.122069,0.032947
2.900000,0.073021,-0.051297,-0.107480,0.146250,0.032941
3.000000,0.061736,-0.035941,-0.075305,0.165596,0.033093
3.100000,0.053829,-0.018553,-0.038874,0.179151,0.033606
3.200000,0.049747,0.000257,0.000539,0.186148,0.034651
3.300000,0.049803,0.019803,0.041492,0.186051,0.036337
3.400000,0.054160,0.039338,0.082423,0.178583,0.038685
3.500000,0.062815,0.058089,0.121711,0.163746,0.041627
3.600000,0.075594,0.075283,0.157735,0.141838,0.044999
3.700000,0.092156,0.090176,0.188940,0.113446,0.048568
3.800000,0.111995,0.102088,0.213898,0.079437,0.052063
3.900000,0.134454,0.110429,0.231374,0.040935,0.055210
4.000000,0.158749,0.114727,0.240380,-0.000712,0.057783
4.100000,0.183989,0.114652,0.240223,-0.043981,0.059641
4.200000,0.209212,0.110034,0.230548,-0.087221,0.060760
4.300000,0.233420,0.100876,0.211359,-0.128719,0.061241
